epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,131.742,0,106.907,0,0,0,0,0,0,175.729,0,0.000541419,0.000541419,0.000541419
2,260.097,0,83.0694,0,0,0,0,0,0,197.157,0,0.00107536,0.00107536,0.00107536
3,387.103,0,68.5914,0,0,0,0,0,0,94.1341,0,0.0015873,0.0015873,0.0015873
4,512.47,0,54.4953,0,0,0,0,0,0,23361.2,0,0.00156798,0.00156798,0.00156798
5,637.145,0,41.5461,0,0,0,0,0,0,3169.35,0,0.00153497,0.00153497,0.00153497
6,761.813,0,31.3149,0,0,0,0,0,0,2830.88,0,0.00150197,0.00150197,0.00150197
7,1239.2,0,22.96,0,0,0,0,0,0,2949.57,0,0.00146896,0.00146896,0.00146896
8,1785.29,0,16.5166,0,0,0,0,0,0,26.1634,0,0.00143595,0.00143595,0.00143595
9,2310.19,0,11.6052,0,0,0,0,0,0,17.7832,0,0.00140295,0.00140295,0.00140295
10,2856.11,0,7.92439,0,0,0,0,0,0,11.3002,0,0.00136994,0.00136994,0.00136994
11,3400.51,0,5.27053,0,0,0,0,0,0,7.23533,0,0.00133693,0.00133693,0.00133693
12,3943.94,0,3.43997,0,0,0,0,0,0,5.01841,0,0.00130393,0.00130393,0.00130393
13,4487.98,0,2.23635,0,0,0,0,0,0,3.16304,0,0.00127092,0.00127092,0.00127092
14,5031.19,0,1.41736,0,0,0,0,0,0,1.96725,0,0.00123791,0.00123791,0.00123791
15,5574.84,0,0.8869,0,0,0,0,0,0,1.25908,0,0.00120491,0.00120491,0.00120491
16,6117.42,0,0.55237,0,0,0,0,0,0,0.67655,0,0.0011719,0.0011719,0.0011719
17,6662.78,0,0.34499,0,0,0,0,0,0,0.98744,0,0.00113889,0.00113889,0.00113889
18,7229.4,0,0.24552,0,0,0,0,0,0,0.3084,0,0.00110589,0.00110589,0.00110589
19,7845.72,0,0.1368,0,0,0,0,0,0,0.13562,0,0.00107288,0.00107288,0.00107288
20,8409.61,0,0.07532,0,0,0,0,0,0,0.07202,0,0.00103987,0.00103987,0.00103987
21,8958,0,0.04805,0,0,0,0,0,0,0.06965,0,0.00100687,0.00100687,0.00100687
22,9502.17,0,0.03685,0,0,0,0,0,0,0.04471,0,0.000973861,0.000973861,0.000973861
23,10047.3,0,0.03008,0,0,0,0,0,0,0.03008,0,0.000940855,0.000940855,0.000940855
24,10590.6,0,0.0139,0,0,0,0,0,0,0.01994,0,0.000907848,0.000907848,0.000907848
25,11135.4,0,0.00719,0,0,0,0,0,0,0.01012,0,0.000874842,0.000874842,0.000874842
26,11440.3,0,0.00599,0,0,0,0,0,0,0.01004,0,0.000841835,0.000841835,0.000841835
27,11564.2,0,0.00597,0,0,0,0,0,0,0.01003,0,0.000808828,0.000808828,0.000808828
28,11687.5,0,0.00595,0,0,0,0,0,0,0.01,0,0.000775822,0.000775822,0.000775822
29,11811,0,0.00585,0,0,0,0,0,0,0.00983,0,0.000742815,0.000742815,0.000742815
30,11935.2,0,0.00553,0,0,0,0,0,0,0.00937,0,0.000709809,0.000709809,0.000709809
31,12059,0,0.00444,0,0,0,0,0,0,0.00705,0,0.000676802,0.000676802,0.000676802
32,12182,0,0.00299,0,0,0,0,0,0,0.00382,0,0.000643795,0.000643795,0.000643795
33,12306.8,0,0.00168,0,0,0,0,0,0,0.00144,0,0.000610789,0.000610789,0.000610789
34,12431,0,0.0006,0,0,0,0,0,0,0.00013,0,0.000577782,0.000577782,0.000577782
35,12800,0,0.00025,0,0,0,0,0,0,7e-05,0,0.000544776,0.000544776,0.000544776
36,13320.6,0,4e-05,0,0,0,0,0,0,1e-05,0,0.000511769,0.000511769,0.000511769
37,13852,0,4e-05,0,0,0,0,0,0,1e-05,0,0.000478762,0.000478762,0.000478762
38,14398.3,0,4e-05,0,0,0,0,0,0,0,0,0.000445756,0.000445756,0.000445756
39,14944.4,0,1e-05,0,0,0,0,0,0,0,0,0.000412749,0.000412749,0.000412749
40,15488.2,0,1e-05,0,0,0,0,0,0,0,0,0.000379743,0.000379743,0.000379743
41,16029.5,0,3e-05,0,0,0,0,0,0,0,0,0.000346736,0.000346736,0.000346736
42,16566.4,0,0,0,0,0,0,0,0,0,0,0.000313729,0.000313729,0.000313729
43,17106,0,0,0,0,0,0,0,0,0,0,0.000280723,0.000280723,0.000280723
44,17652.8,0,0,0,0,0,0,0,0,0,0,0.000247716,0.000247716,0.000247716
45,18185.7,0,0,0,0,0,0,0,0,0,0,0.00021471,0.00021471,0.00021471
46,18726,0,0,0,0,0,0,0,0,0,0,0.000181703,0.000181703,0.000181703
47,19263.7,0,0,0,0,0,0,0,0,0,0,0.000148696,0.000148696,0.000148696
48,19652.3,0,0,0,0,0,0,0,0,0,0,0.00011569,0.00011569,0.00011569
49,20189.4,0,0,0,0,0,0,0,0,0,0,8.26832e-05,8.26832e-05,8.26832e-05
50,20726.5,0,0,0,0,0,0,0,0,0,0,4.96766e-05,4.96766e-05,4.96766e-05
